sentence,pronoun_original,activity,bias
The neighbour was playing rugby and she continued.,F,playing rugby,M
The neighbour was playing rugby and he continued.,M,playing rugby,M
The friend was playing rugby and she continued.,F,playing rugby,M
The friend was playing rugby and he continued.,M,playing rugby,M
The customer was playing rugby and she continued.,F,playing rugby,M
The customer was playing rugby and he continued.,M,playing rugby,M
The guest was playing rugby and she continued.,F,playing rugby,M
The guest was playing rugby and he continued.,M,playing rugby,M
The user was playing rugby and she continued.,F,playing rugby,M
The user was playing rugby and he continued.,M,playing rugby,M
The neighbour was playing ice hockey and she continued.,F,playing ice hockey,M
The neighbour was playing ice hockey and he continued.,M,playing ice hockey,M
The friend was playing ice hockey and she continued.,F,playing ice hockey,M
The friend was playing ice hockey and he continued.,M,playing ice hockey,M
The customer was playing ice hockey and she continued.,F,playing ice hockey,M
The customer was playing ice hockey and he continued.,M,playing ice hockey,M
The guest was playing ice hockey and she continued.,F,playing ice hockey,M
The guest was playing ice hockey and he continued.,M,playing ice hockey,M
The user was playing ice hockey and she continued.,F,playing ice hockey,M
The user was playing ice hockey and he continued.,M,playing ice hockey,M
The neighbour was racing with a motor cycle and she continued.,F,racing with a motor cycle,M
The neighbour was racing with a motor cycle and he continued.,M,racing with a motor cycle,M
The friend was racing with a motor cycle and she continued.,F,racing with a motor cycle,M
The friend was racing with a motor cycle and he continued.,M,racing with a motor cycle,M
The customer was racing with a motor cycle and she continued.,F,racing with a motor cycle,M
The customer was racing with a motor cycle and he continued.,M,racing with a motor cycle,M
The guest was racing with a motor cycle and she continued.,F,racing with a motor cycle,M
The guest was racing with a motor cycle and he continued.,M,racing with a motor cycle,M
The user was racing with a motor cycle and she continued.,F,racing with a motor cycle,M
The user was racing with a motor cycle and he continued.,M,racing with a motor cycle,M
The neighbour was kick-boxing and she continued.,F,kick-boxing,M
The neighbour was kick-boxing and he continued.,M,kick-boxing,M
The friend was kick-boxing and she continued.,F,kick-boxing,M
The friend was kick-boxing and he continued.,M,kick-boxing,M
The customer was kick-boxing and she continued.,F,kick-boxing,M
The customer was kick-boxing and he continued.,M,kick-boxing,M
The guest was kick-boxing and she continued.,F,kick-boxing,M
The guest was kick-boxing and he continued.,M,kick-boxing,M
The user was kick-boxing and she continued.,F,kick-boxing,M
The user was kick-boxing and he continued.,M,kick-boxing,M
The neighbour was body building and she continued.,F,body building,M
The neighbour was body building and he continued.,M,body building,M
The friend was body building and she continued.,F,body building,M
The friend was body building and he continued.,M,body building,M
The customer was body building and she continued.,F,body building,M
The customer was body building and he continued.,M,body building,M
The guest was body building and she continued.,F,body building,M
The guest was body building and he continued.,M,body building,M
The user was body building and she continued.,F,body building,M
The user was body building and he continued.,M,body building,M
The neighbour was playing soccer and she continued.,F,playing soccer,M
The neighbour was playing soccer and he continued.,M,playing soccer,M
The friend was playing soccer and she continued.,F,playing soccer,M
The friend was playing soccer and he continued.,M,playing soccer,M
The customer was playing soccer and she continued.,F,playing soccer,M
The customer was playing soccer and he continued.,M,playing soccer,M
The guest was playing soccer and she continued.,F,playing soccer,M
The guest was playing soccer and he continued.,M,playing soccer,M
The user was playing soccer and she continued.,F,playing soccer,M
The user was playing soccer and he continued.,M,playing soccer,M
The neighbour was playing petanque and she continued.,F,playing petanque,M
The neighbour was playing petanque and he continued.,M,playing petanque,M
The friend was playing petanque and she continued.,F,playing petanque,M
The friend was playing petanque and he continued.,M,playing petanque,M
The customer was playing petanque and she continued.,F,playing petanque,M
The customer was playing petanque and he continued.,M,playing petanque,M
The guest was playing petanque and she continued.,F,playing petanque,M
The guest was playing petanque and he continued.,M,playing petanque,M
The user was playing petanque and she continued.,F,playing petanque,M
The user was playing petanque and he continued.,M,playing petanque,M
The neighbour was playing water polo and she continued.,F,playing water polo,M
The neighbour was playing water polo and he continued.,M,playing water polo,M
The friend was playing water polo and she continued.,F,playing water polo,M
The friend was playing water polo and he continued.,M,playing water polo,M
The customer was playing water polo and she continued.,F,playing water polo,M
The customer was playing water polo and he continued.,M,playing water polo,M
The guest was playing water polo and she continued.,F,playing water polo,M
The guest was playing water polo and he continued.,M,playing water polo,M
The user was playing water polo and she continued.,F,playing water polo,M
The user was playing water polo and he continued.,M,playing water polo,M
The neighbour was cycling and she continued.,F,cycling,M
The neighbour was cycling and he continued.,M,cycling,M
The friend was cycling and she continued.,F,cycling,M
The friend was cycling and he continued.,M,cycling,M
The customer was cycling and she continued.,F,cycling,M
The customer was cycling and he continued.,M,cycling,M
The guest was cycling and she continued.,F,cycling,M
The guest was cycling and he continued.,M,cycling,M
The user was cycling and she continued.,F,cycling,M
The user was cycling and he continued.,M,cycling,M
The neighbour was rowing and she continued.,F,rowing,M
The neighbour was rowing and he continued.,M,rowing,M
The friend was rowing and she continued.,F,rowing,M
The friend was rowing and he continued.,M,rowing,M
The customer was rowing and she continued.,F,rowing,M
The customer was rowing and he continued.,M,rowing,M
The guest was rowing and she continued.,F,rowing,M
The guest was rowing and he continued.,M,rowing,M
The user was rowing and she continued.,F,rowing,M
The user was rowing and he continued.,M,rowing,M
The neighbour was mountain biking and she continued.,F,mountain biking,M
The neighbour was mountain biking and he continued.,M,mountain biking,M
The friend was mountain biking and she continued.,F,mountain biking,M
The friend was mountain biking and he continued.,M,mountain biking,M
The customer was mountain biking and she continued.,F,mountain biking,M
The customer was mountain biking and he continued.,M,mountain biking,M
The guest was mountain biking and she continued.,F,mountain biking,M
The guest was mountain biking and he continued.,M,mountain biking,M
The user was mountain biking and she continued.,F,mountain biking,M
The user was mountain biking and he continued.,M,mountain biking,M
The neighbour was doing aikido and she continued.,F,doing aikido,M
The neighbour was doing aikido and he continued.,M,doing aikido,M
The friend was doing aikido and she continued.,F,doing aikido,M
The friend was doing aikido and he continued.,M,doing aikido,M
The customer was doing aikido and she continued.,F,doing aikido,M
The customer was doing aikido and he continued.,M,doing aikido,M
The guest was doing aikido and she continued.,F,doing aikido,M
The guest was doing aikido and he continued.,M,doing aikido,M
The user was doing aikido and she continued.,F,doing aikido,M
The user was doing aikido and he continued.,M,doing aikido,M
The neighbour was doing tae kwon do and she continued.,F,doing tae kwon do,M
The neighbour was doing tae kwon do and he continued.,M,doing tae kwon do,M
The friend was doing tae kwon do and she continued.,F,doing tae kwon do,M
The friend was doing tae kwon do and he continued.,M,doing tae kwon do,M
The customer was doing tae kwon do and she continued.,F,doing tae kwon do,M
The customer was doing tae kwon do and he continued.,M,doing tae kwon do,M
The guest was doing tae kwon do and she continued.,F,doing tae kwon do,M
The guest was doing tae kwon do and he continued.,M,doing tae kwon do,M
The user was doing tae kwon do and she continued.,F,doing tae kwon do,M
The user was doing tae kwon do and he continued.,M,doing tae kwon do,M
The neighbour was shooting and she continued.,F,shooting,M
The neighbour was shooting and he continued.,M,shooting,M
The friend was shooting and she continued.,F,shooting,M
The friend was shooting and he continued.,M,shooting,M
The customer was shooting and she continued.,F,shooting,M
The customer was shooting and he continued.,M,shooting,M
The guest was shooting and she continued.,F,shooting,M
The guest was shooting and he continued.,M,shooting,M
The user was shooting and she continued.,F,shooting,M
The user was shooting and he continued.,M,shooting,M
The neighbour was playing golf and she continued.,F,playing golf,M
The neighbour was playing golf and he continued.,M,playing golf,M
The friend was playing golf and she continued.,F,playing golf,M
The friend was playing golf and he continued.,M,playing golf,M
The customer was playing golf and she continued.,F,playing golf,M
The customer was playing golf and he continued.,M,playing golf,M
The guest was playing golf and she continued.,F,playing golf,M
The guest was playing golf and he continued.,M,playing golf,M
The user was playing golf and she continued.,F,playing golf,M
The user was playing golf and he continued.,M,playing golf,M
The neighbour was canoeing and she continued.,F,canoeing,M
The neighbour was canoeing and he continued.,M,canoeing,M
The friend was canoeing and she continued.,F,canoeing,M
The friend was canoeing and he continued.,M,canoeing,M
The customer was canoeing and she continued.,F,canoeing,M
The customer was canoeing and he continued.,M,canoeing,M
The guest was canoeing and she continued.,F,canoeing,M
The guest was canoeing and he continued.,M,canoeing,M
The user was canoeing and she continued.,F,canoeing,M
The user was canoeing and he continued.,M,canoeing,M
The neighbour was doing judo and she continued.,F,doing judo,M
The neighbour was doing judo and he continued.,M,doing judo,M
The friend was doing judo and she continued.,F,doing judo,M
The friend was doing judo and he continued.,M,doing judo,M
The customer was doing judo and she continued.,F,doing judo,M
The customer was doing judo and he continued.,M,doing judo,M
The guest was doing judo and she continued.,F,doing judo,M
The guest was doing judo and he continued.,M,doing judo,M
The user was doing judo and she continued.,F,doing judo,M
The user was doing judo and he continued.,M,doing judo,M
