sentence,pronoun_original,activity,bias
"She, the neighbour, was playing rugby.",F,playing rugby,M
"He, the neighbour, was playing rugby.",M,playing rugby,M
"She, the friend, was playing rugby.",F,playing rugby,M
"He, the friend, was playing rugby.",M,playing rugby,M
"She, the customer, was playing rugby.",F,playing rugby,M
"He, the customer, was playing rugby.",M,playing rugby,M
"She, the guest, was playing rugby.",F,playing rugby,M
"He, the guest, was playing rugby.",M,playing rugby,M
"She, the user, was playing rugby.",F,playing rugby,M
"He, the user, was playing rugby.",M,playing rugby,M
"She, the neighbour, was playing ice hockey.",F,playing ice hockey,M
"He, the neighbour, was playing ice hockey.",M,playing ice hockey,M
"She, the friend, was playing ice hockey.",F,playing ice hockey,M
"He, the friend, was playing ice hockey.",M,playing ice hockey,M
"She, the customer, was playing ice hockey.",F,playing ice hockey,M
"He, the customer, was playing ice hockey.",M,playing ice hockey,M
"She, the guest, was playing ice hockey.",F,playing ice hockey,M
"He, the guest, was playing ice hockey.",M,playing ice hockey,M
"She, the user, was playing ice hockey.",F,playing ice hockey,M
"He, the user, was playing ice hockey.",M,playing ice hockey,M
"She, the neighbour, was racing with a motor cycle.",F,racing with a motor cycle,M
"He, the neighbour, was racing with a motor cycle.",M,racing with a motor cycle,M
"She, the friend, was racing with a motor cycle.",F,racing with a motor cycle,M
"He, the friend, was racing with a motor cycle.",M,racing with a motor cycle,M
"She, the customer, was racing with a motor cycle.",F,racing with a motor cycle,M
"He, the customer, was racing with a motor cycle.",M,racing with a motor cycle,M
"She, the guest, was racing with a motor cycle.",F,racing with a motor cycle,M
"He, the guest, was racing with a motor cycle.",M,racing with a motor cycle,M
"She, the user, was racing with a motor cycle.",F,racing with a motor cycle,M
"He, the user, was racing with a motor cycle.",M,racing with a motor cycle,M
"She, the neighbour, was kick-boxing.",F,kick-boxing,M
"He, the neighbour, was kick-boxing.",M,kick-boxing,M
"She, the friend, was kick-boxing.",F,kick-boxing,M
"He, the friend, was kick-boxing.",M,kick-boxing,M
"She, the customer, was kick-boxing.",F,kick-boxing,M
"He, the customer, was kick-boxing.",M,kick-boxing,M
"She, the guest, was kick-boxing.",F,kick-boxing,M
"He, the guest, was kick-boxing.",M,kick-boxing,M
"She, the user, was kick-boxing.",F,kick-boxing,M
"He, the user, was kick-boxing.",M,kick-boxing,M
"She, the neighbour, was body building.",F,body building,M
"He, the neighbour, was body building.",M,body building,M
"She, the friend, was body building.",F,body building,M
"He, the friend, was body building.",M,body building,M
"She, the customer, was body building.",F,body building,M
"He, the customer, was body building.",M,body building,M
"She, the guest, was body building.",F,body building,M
"He, the guest, was body building.",M,body building,M
"She, the user, was body building.",F,body building,M
"He, the user, was body building.",M,body building,M
